# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
 OP2 1MG, O2P 1MG
 OP3 1MG, O3P 1MG
 O5' 1MG, O5* 1MG
 C5' 1MG, C5* 1MG
 C4' 1MG, C4* 1MG
 O4' 1MG, O4* 1MG
 C3' 1MG, C3* 1MG
 O3' 1MG, O3* 1MG
 C2' 1MG, C2* 1MG
 O2' 1MG, O2* 1MG
 C1' 1MG, C1* 1MG
 O'1 1PR,1O0' 1PR
 C1B 1PR, C1" 1PR
 C2B 1PR, C2" 1PR
 C3B 1PR, C3" 1PR
 C4B 1PR, C4" 1PR
 C5B 1PR, C5" 1PR
 O2B 1PR, O2" 1PR
 O3B 1PR, O3" 1PR
 O4B 1PR, O4" 1PR
 O6B 1PR, O6" 1PR
 P7B 1PR, P7" 1PR
 O'L 1PR,1O2" 1PR
 O8B 1PR, O8" 1PR
 O9B 1PR, O9" 1PR
 O5' 1RB, O5* 1RB
 C5' 1RB, C5* 1RB
 C4' 1RB, C4* 1RB
 O4' 1RB, O4* 1RB
 C3' 1RB, C3* 1RB
 O3' 1RB, O3* 1RB
 C2' 1RB, C2* 1RB
 O2' 1RB, O2* 1RB
 C1' 1RB, C1* 1RB
 O5' 1SC, O5* 1SC
 C5' 1SC, C5* 1SC
 C4' 1SC, C4* 1SC
 O4' 1SC, O4* 1SC
 C3' 1SC, C3* 1SC
 O3' 1SC, O3* 1SC
 C2' 1SC, C2* 1SC
 O2' 1SC, O2* 1SC
 C1' 1SC, C1* 1SC
 N1' 1TP, N1* 1TP
 C2' 1TP, C2* 1TP
 N3' 1TP, N3* 1TP
 C4' 1TP, C4* 1TP
 N4' 1TP, N4* 1TP
 C5' 1TP, C5* 1TP
 C6' 1TP, C6* 1TP
 C7' 1TP, C7* 1TP
 N1' 223, N1* 223
 C6' 223, C6* 223
 C4' 223, C4* 223
 C5' 223, C5* 223
 O5' 223, O5* 223
 C3' 223, C3* 223
 O3' 223, O3* 223
 C2' 223, C2* 223
 CB' 232,C11' 232
 CC' 232,C12' 232
 CD' 232,C13' 232
