# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
H102 78A,2H10 78A
 H16 78A, H16 78A
 H15 78A, H15 78A
 H14 78A, H14 78A
 H13 78A, H13 78A
 H12 78A, H12 78A
 H2  78A, H2  78A
 H3  78A, H3  78A
 HN1 78A, HN1 78A
 H5  78A, H5  78A
 H17 78A, H17 78A
H191 78A,1H19 78A
H192 78A,2H19 78A
H181 78A,1H18 78A
H182 78A,2H18 78A
H183 78A,3H18 78A
H201 78A,1H20 78A
H202 78A,2H20 78A
H203 78A,3H20 78A
 H7  78A, H7  78A
 HO6 78A, HO6 78A
H231 78A,1H23 78A
H232 78A,2H23 78A
H221 78A,1H22 78A
H222 78A,2H22 78A
H211 78A,1H21 78A
H212 78A,2H21 78A
 H11 790,1H1  790
 H12 790,2H1  790
H21A 790,1H2  790
 H22 790,2H2  790
 HN5 790, HN5 790
 H61 790,1H6  790
 H62 790,2H6  790
 H13 790, H13 790
 H14 790, H14 790
 H15 790, H15 790
 H19 790, H19 790
 H21 790, H21 790
 H1  791, H1  791
 H2  791, H2  791
 H3  791, H3  791
 H5  791, H5  791
 H6  791, H6  791
 H12 791, H12 791
 H16 791, H16 791
 H18 791, H18 791
 H35 794, H35 794
 H21 794, H21 794
 H22 794, H22 794
 H23 794, H23 794
 H24 794, H24 794
 H33 794, H33 794
 H12 794, H12 794
 H13 794, H13 794
 H14 794, H14 794
 H6  794, H6  794
 H5  794, H5  794
 H4  794, H4  794
 H3  794, H3  794
 H17 796, H17 796
 H16 796, H16 796
 H2  796, H2  796
 HN9 796, HN9 796
H101 796,1H10 796
H102 796,2H10 796
H103 796,3H10 796
 H1  796, H1  796
HN24 796,HN24 796
 H25 796, H25 796
H271 796,1H27 796
H272 796,2H27 796
H431 796,1H43 796
H432 796,2H43 796
H281 796,1H28 796
H282 796,2H28 796
 H37 796, H37 796
 H36 796, H36 796
 H34 796, H34 796
 H2  797, H2  797
 H5  797, H5  797
 H6  797, H6  797
 H10 797, H10 797
 H11 797, H11 797
 H13 797, H13 797
 H17 797, H17 797
 H23 797, H23 797
 H24 797, H24 797
 H26 797, H26 797
 H30 797, H30 797
 H51 7A8,1H5  7A8
 H52 7A8,2H5  7A8
 H6  7A8, H6  7A8
 H81 7A8,1H8  7A8
 H82 7A8,2H8  7A8
 H91 7A8,1H9  7A8
 H92 7A8,2H9  7A8
 H10 7A8, H10 7A8
H131 7A8,1H13 7A8
H132 7A8,2H13 7A8
H133 7A8,3H13 7A8
H141 7A8,1H14 7A8
H142 7A8,2H14 7A8
H143 7A8,3H14 7A8
H151 7A8,1H15 7A8
H152 7A8,2H15 7A8
H153 7A8,3H15 7A8
 H1  7AD, H1  7AD
 H2  7AD, H2  7AD
 H3  7AD, H3  7AD
 H5  7AD, H5  7AD
 H6  7AD, H6  7AD
 H7  7AD, H7  7AD
 H8  7AD, H8  7AD
HN11 7AD,1HN1 7AD
HN12 7AD,2HN1 7AD
 HN2 7AD, HN2 7AD
H151 7AD,1H15 7AD
H152 7AD,2H15 7AD
H161 7AD,1H16 7AD
H162 7AD,2H16 7AD
H171 7AD,1H17 7AD
H172 7AD,2H17 7AD
H181 7AD,1H18 7AD
H182 7AD,2H18 7AD
H183 7AD,3H18 7AD
H191 7AD,1H19 7AD
H192 7AD,2H19 7AD
H193 7AD,3H19 7AD
 H77 7AP,7H7  7AP
H1'' 7AP,'H1' 7AP
H2'' 7AP,'H2' 7AP
H3'1 7AP,1H3' 7AP
H3'2 7AP,2H3' 7AP
H3'3 7AP,3H3' 7AP
 HO1 7AP, HO1 7AP
 HO2 7AP, HO2 7AP
 HN1 7AP, HN1 7AP
 HN2 7AP, HN2 7AP
 HN3 7AP, HN3 7AP
 HN4 7AP, HN4 7AP
 H11 7CA,1H1  7CA
 H12 7CA,2H1  7CA
 H13 7CA,3H1  7CA
 H3  7CA, H3  7CA
 H4  7CA, H4  7CA
 H5  7CA, H5  7CA
 H6  7CA, H6  7CA
 H14 7CA, H14 7CA
 HO4 7CA, HO4 7CA
HO10 7CA,HO10 7CA
H171 7CA,1H17 7CA
H172 7CA,2H17 7CA
H181 7CA,1H18 7CA
H182 7CA,2H18 7CA
 H19 7CA, H19 7CA
H201 7CA,1H20 7CA
H202 7CA,2H20 7CA
H203 7CA,3H20 7CA
H211 7CA,1H21 7CA
H212 7CA,2H21 7CA
H213 7CA,3H21 7CA
 H22 7CA, H22 7CA
 H23 7CA, H23 7CA
 HO7 7CA, HO7 7CA
 H24 7CA, H24 7CA
 HO8 7CA, HO8 7CA
 H25 7CA, H25 7CA
 HO9 7CA, HO9 7CA
 H26 7CA, H26 7CA
H271 7CA,1H27 7CA
H272 7CA,2H27 7CA
H273 7CA,3H27 7CA
 H81 7CS,1H8  7CS
 H82 7CS,2H8  7CS
 H83 7CS,3H8  7CS
 H11 7CS, H11 7CS
 H71 7CS,1H7  7CS
 H72 7CS,2H7  7CS
 H61 7CS,1H6  7CS
 H62 7CS,2H6  7CS
 H5  7CS, H5  7CS
 H41 7CS,1H4  7CS
 H42 7CS,2H4  7CS
 H1  7CS, H1  7CS
 H21 7CS,1H2  7CS
 H22 7CS,2H2  7CS
 H3  7CS, H3  7CS
 H13 7CS, H13 7CS
 H17 7CS, H17 7CS
 H18 7CS, H18 7CS
HN10 7CS,HN10 7CS
HOP2 7DA,2HOP 7DA
 H2  7DA, H2  7DA
HN61 7DA,1HN6 7DA
HN62 7DA,2HN6 7DA
 H7  7DA, H7  7DA
 H8  7DA, H8  7DA
 H2' 7DA,1H2* 7DA
H2'' 7DA,2H2* 7DA
 H5' 7DA,1H5* 7DA
H5'' 7DA,2H5* 7DA
 H4' 7DA, H4* 7DA
 H1' 7DA, H1* 7DA
 H1  7DA, H1  7DA
HO3' 7DA,H3T  7DA
HOP3 7DA,3HOP 7DA
 H13 7DE, H13 7DE
 H11 7DE, H11 7DE
 H2  7DE, H2  7DE
 H1  7DE, H1  7DE
 H61 7DE,1H6  7DE
 H62 7DE,2H6  7DE
 H63 7DE,3H6  7DE
 H91 7DE,1H9  7DE
 H92 7DE,2H9  7DE
 H93 7DE,3H9  7DE
H161 7DE,1H16 7DE
H162 7DE,2H16 7DE
H171 7DE,1H17 7DE
H172 7DE,2H17 7DE
H173 7DE,3H17 7DE
 H8  7DG, H8  7DG
 H71 7DG,1H7  7DG
 H72 7DG,2H7  7DG
 HN1 7DG, HN1 7DG
HN21 7DG,1HN2 7DG
HN22 7DG,2HN2 7DG
 H1  7GP, H1  7GP
 H2  7GP, H2  7GP
 HO2 7GP, HO2 7GP
 H3  7GP, H3  7GP
 HO3 7GP, HO3 7GP
 H4  7GP, H4  7GP
 HO4 7GP, HO4 7GP
 H5  7GP, H5  7GP
 H61 7GP,1H6  7GP
 H62 7GP,2H6  7GP
 HO6 7GP, HO6 7GP
 HN1 7GP, HN1 7GP
 H91 7GP,1H9  7GP
 H92 7GP,2H9  7GP
H101 7GP,1H10 7GP
H102 7GP,2H10 7GP
H103 7GP,3H10 7GP
HOP2 7GU,2HOP 7GU
HN21 7GU,1HN2 7GU
HN22 7GU,2HN2 7GU
 HN1 7GU, HN1 7GU
 H7  7GU, H7  7GU
 H8  7GU, H8  7GU
 H2' 7GU,1H2* 7GU
H2'' 7GU,2H2* 7GU
 H5' 7GU,1H5* 7GU
H5'' 7GU,2H5* 7GU
 H4' 7GU, H4* 7GU
 H1' 7GU, H1* 7GU
 H3' 7GU, H3* 7GU
HO3' 7GU,H3T  7GU
HOP3 7GU,3HOP 7GU
 HHA 7HE, HHA 7HE
 HHB 7HE, HHB 7HE
 HHC 7HE, HHC 7HE
 HHD 7HE, HHD 7HE
HMA1 7HE,1HMA 7HE
HMA2 7HE,2HMA 7HE
HMA3 7HE,3HMA 7HE
HAA1 7HE,1HAA 7HE
HAA2 7HE,2HAA 7HE
HAA3 7HE,3HAA 7HE
HMB1 7HE,1HMB 7HE
HMB2 7HE,2HMB 7HE
HMB3 7HE,3HMB 7HE
 HAB 7HE, HAB 7HE
HBB1 7HE,1HBB 7HE
HBB2 7HE,2HBB 7HE
HMC1 7HE,1HMC 7HE
HMC2 7HE,2HMC 7HE
HMC3 7HE,3HMC 7HE
 HAC 7HE, HAC 7HE
HBC1 7HE,1HBC 7HE
HBC2 7HE,2HBC 7HE
HMD1 7HE,1HMD 7HE
HMD2 7HE,2HMD 7HE
HMD3 7HE,3HMD 7HE
HAD1 7HE,1HAD 7HE
HAD2 7HE,2HAD 7HE
HBD1 7HE,1HBD 7HE
HBD2 7HE,2HBD 7HE
HO2D 7HE,HO2D 7HE
 H9  7HP, H9  7HP
 H2  7HP, H2  7HP
 HO6 7HP, HO6 7HP
 HN7 7HP, HN7 7HP
 H31 7I2,1H3  7I2
 H41 7I2,1H4  7I2
 H51 7I2,1H5  7I2
 H61 7I2,1H6  7I2
 H14 7I2, H14 7I2
H151 7I2,1H15 7I2
H152 7I2,2H15 7I2
HN31 7IG,1HN3 7IG
HN32 7IG,2HN3 7IG
HN41 7IG,1HN4 7IG
HN42 7IG,2HN4 7IG
 H51 7IG,1H5  7IG
 H52 7IG,2H5  7IG
 H61 7IG,1H6  7IG
 H62 7IG,2H6  7IG
 H63 7IG,3H6  7IG
 H7  7IG, H7  7IG
 H8  7IG, H8  7IG
 H10 7IG, H10 7IG
 H11 7IG, H11 7IG
 HN5 7IG, HN5 7IG
 H14 7IG, H14 7IG
 H16 7IG, H16 7IG
 H18 7IG, H18 7IG
H191 7IG,1H19 7IG
H192 7IG,2H19 7IG
 HO2 7IN, HO2 7IN
H31A 7IN,1H3  7IN
 H32 7IN,2H3  7IN
 H4  7IN, H4  7IN
 HN5 7IN, HN5 7IN
 H7  7IN, H7  7IN
 HN8 7IN, HN8 7IN
H101 7IN,1H10 7IN
H102 7IN,2H10 7IN
 H12 7IN, H12 7IN
 H13 7IN, H13 7IN
 H14 7IN, H14 7IN
 H15 7IN, H15 7IN
 H16 7IN, H16 7IN
H191 7IN,1H19 7IN
H192 7IN,2H19 7IN
 H20 7IN, H20 7IN
 H24 7IN, H24 7IN
H251 7IN,1H25 7IN
H252 7IN,2H25 7IN
 H27 7IN, H27 7IN
 H28 7IN, H28 7IN
 H30 7IN, H30 7IN
 H31 7IN, H31 7IN
 H33 7IN, H33 7IN
H341 7IN,1H34 7IN
H342 7IN,2H34 7IN
H11A 7IP,1H1  7IP
H12A 7IP,2H1  7IP
 H13 7IP,3H1  7IP
 H4  7IP, H4  7IP
 H5  7IP, H5  7IP
 H6  7IP, H6  7IP
 H8  7IP, H8  7IP
 H10 7IP, H10 7IP
 H11 7IP, H11 7IP
 H12 7IP, H12 7IP
H141 7IP,1H14 7IP
H142 7IP,2H14 7IP
H151 7IP,1H15 7IP
H152 7IP,2H15 7IP
 H17 7IP, H17 7IP
 H18 7IP, H18 7IP
 H19 7IP, H19 7IP
H211 7IP,1H21 7IP
H212 7IP,2H21 7IP
 H23 7IP, H23 7IP
HOP2 7MG,2HOP 7MG
HOP3 7MG,3HOP 7MG
 H5' 7MG,1H5* 7MG
H5'' 7MG,2H5* 7MG
 H4' 7MG, H4* 7MG
 H3' 7MG, H3* 7MG
HO3' 7MG,*HO3 7MG
 H2' 7MG, H2* 7MG
HO2' 7MG,*HO2 7MG
 H1' 7MG, H1* 7MG
 H81 7MG,1H8  7MG
 H82 7MG,2H8  7MG
 HN1 7MG, HN1 7MG
HN21 7MG,1HN2 7MG
HN22 7MG,2HN2 7MG
HM71 7MG,1HM7 7MG
HM72 7MG,2HM7 7MG
HM73 7MG,3HM7 7MG
HAT1 7MP,1HAT 7MP
HAT2 7MP,2HAT 7MP
HAT3 7MP,3HAT 7MP
HAS1 7MP,1HAS 7MP
HAS2 7MP,2HAS 7MP
 H6  7MP, H6  7MP
 HAJ 7MP, HAJ 7MP
HAR1 7MP,1HAR 7MP
HAR2 7MP,2HAR 7MP
HAR3 7MP,3HAR 7MP
 HAP 7MP, HAP 7MP
 HAO 7MP, HAO 7MP
 HAM 7MP, HAM 7MP
HNAU 7MP,HNAU 7MP
 HBC 7MP, HBC 7MP
 HAY 7MP, HAY 7MP
 HAZ 7MP, HAZ 7MP
 HBA 7MP, HBA 7MP
H3M1 7MQ,1H3M 7MQ
H3M2 7MQ,2H3M 7MQ
H3M3 7MQ,3H3M 7MQ
 H6  7MQ, H6  7MQ
 H7  7MQ, H7  7MQ
 H8  7MQ, H8  7MQ
 H9  7MQ, H9  7MQ
H111 7MQ,1H11 7MQ
H112 7MQ,2H11 7MQ
 H12 7MQ, H12 7MQ
H141 7MQ,1H14 7MQ
H142 7MQ,2H14 7MQ
H143 7MQ,3H14 7MQ
H151 7MQ,1H15 7MQ
H152 7MQ,2H15 7MQ
H161 7MQ,1H16 7MQ
H162 7MQ,2H16 7MQ
 H17 7MQ, H17 7MQ
H191 7MQ,1H19 7MQ
H192 7MQ,2H19 7MQ
H193 7MQ,3H19 7MQ
H201 7MQ,1H20 7MQ
H202 7MQ,2H20 7MQ
H211 7MQ,1H21 7MQ
H212 7MQ,2H21 7MQ
 H22 7MQ, H22 7MQ
H241 7MQ,1H24 7MQ
H242 7MQ,2H24 7MQ
H243 7MQ,3H24 7MQ
H251 7MQ,1H25 7MQ
H252 7MQ,2H25 7MQ
H261 7MQ,1H26 7MQ
H262 7MQ,2H26 7MQ
 H27 7MQ, H27 7MQ
H291 7MQ,1H29 7MQ
H292 7MQ,2H29 7MQ
H293 7MQ,3H29 7MQ
H301 7MQ,1H30 7MQ
H302 7MQ,2H30 7MQ
H311 7MQ,1H31 7MQ
H312 7MQ,2H31 7MQ
 H32 7MQ, H32 7MQ
H341 7MQ,1H34 7MQ
H342 7MQ,2H34 7MQ
H343 7MQ,3H34 7MQ
H351 7MQ,1H35 7MQ
H352 7MQ,2H35 7MQ
H361 7MQ,1H36 7MQ
H362 7MQ,2H36 7MQ
 H37 7MQ, H37 7MQ
H391 7MQ,1H39 7MQ
H392 7MQ,2H39 7MQ
H393 7MQ,3H39 7MQ
H401 7MQ,1H40 7MQ
H402 7MQ,2H40 7MQ
H411 7MQ,1H41 7MQ
H412 7MQ,2H41 7MQ
 H42 7MQ, H42 7MQ
H441 7MQ,1H44 7MQ
H442 7MQ,2H44 7MQ
H443 7MQ,3H44 7MQ
H451 7MQ,1H45 7MQ
H452 7MQ,2H45 7MQ
H453 7MQ,3H45 7MQ
 HAI 7MR, HAI 7MR
 HAH 7MR, HAH 7MR
 HAG 7MR, HAG 7MR
 HAR 7MR, HAR 7MR
 HAS 7MR, HAS 7MR
 HAJ 7MR, HAJ 7MR
 HAK 7MR, HAK 7MR
 HAW 7MR, HAW 7MR
 HAX 7MR, HAX 7MR
HAN1 7MR,1HAN 7MR
HAN2 7MR,2HAN 7MR
HAZ1 7MR,1HAZ 7MR
HAZ2 7MR,2HAZ 7MR
HNAD 7MR,HNAD 7MR
HOAA 7MR,HOAA 7MR
 H2  7NH, H2  7NH
 H3  7NH, H3  7NH
 H6  7NH, H6  7NH
 HN3 7NH, HN3 7NH
 HN4 7NH, HN4 7NH
 H2' 7NH, H2' 7NH
 H3' 7NH, H3' 7NH
 H4' 7NH, H4' 7NH
 H6' 7NH, H6' 7NH
 H2B 7NH,H2'' 7NH
 H3B 7NH,H3'' 7NH
 H4B 7NH,H4'' 7NH
 H6B 7NH,H6'' 7NH
H511 7NH,1H51 7NH
H512 7NH,2H51 7NH
 H52 7NH, H52 7NH
H541 7NH,1H54 7NH
H542 7NH,2H54 7NH
 H11 7NI,1H1  7NI
 H31 7NI,1H3  7NI
 H41 7NI,1H4  7NI
 H51 7NI,1H5  7NI
 H61 7NI,1H6  7NI
 HO2 7PA, HO2 7PA
 H11 7PA,1H1  7PA
 H12 7PA,2H1  7PA
 H21 7PA,1H2  7PA
 H22 7PA,2H2  7PA
 H31 7PA,1H3  7PA
 H32 7PA,2H3  7PA
 HO4 7PA, HO4 7PA
 HO5 7PA, HO5 7PA
 HO6 7PA, HO6 7PA
 H16 7PC, H16 7PC
 H19 7PC, H19 7PC
 H22 7PC, H22 7PC
H291 7PC,1H29 7PC
H292 7PC,2H29 7PC
H301 7PC,1H30 7PC
H302 7PC,2H30 7PC
HO22 7PC,HO22 7PC
 H6  7PC, H6  7PC
 H4  7PC, H4  7PC
 H3  7PC, H3  7PC
 H24 7PC, H24 7PC
 H25 7PC, H25 7PC
 H26 7PC, H26 7PC
 H27 7PC, H27 7PC
H211 7PE,1H21 7PE
H212 7PE,2H21 7PE
H213 7PE,3H21 7PE
H201 7PE,1H20 7PE
H202 7PE,2H20 7PE
H181 7PE,1H18 7PE
H182 7PE,2H18 7PE
H171 7PE,1H17 7PE
H172 7PE,2H17 7PE
H151 7PE,1H15 7PE
H152 7PE,2H15 7PE
H141 7PE,1H14 7PE
H142 7PE,2H14 7PE
H121 7PE,1H12 7PE
H122 7PE,2H12 7PE
H111 7PE,1H11 7PE
H112 7PE,2H11 7PE
 H91 7PE,1H9  7PE
 H92 7PE,2H9  7PE
 H81 7PE,1H8  7PE
 H82 7PE,2H8  7PE
 H61 7PE,1H6  7PE
 H62 7PE,2H6  7PE
 H51 7PE,1H5  7PE
 H52 7PE,2H5  7PE
 H31 7PE,1H3  7PE
 H32 7PE,2H3  7PE
 H21 7PE,1H2  7PE
 H22 7PE,2H2  7PE
 HO1 7PE, HO1 7PE
HOXT 7PG,HOXT 7PG
 H11 7PG,1H1  7PG
 H12 7PG,2H1  7PG
 H21 7PG,1H2  7PG
 H22 7PG,2H2  7PG
 H31 7PG,1H3  7PG
 H32 7PG,2H3  7PG
 H41 7PG,1H4  7PG
 H42 7PG,2H4  7PG
 H51 7PG,1H5  7PG
 H52 7PG,2H5  7PG
 H61 7PG,1H6  7PG
 H62 7PG,2H6  7PG
 H71 7PG,1H7  7PG
 H72 7PG,2H7  7PG
 H81 7PG,1H8  7PG
 H82 7PG,2H8  7PG
 H91 7PG,1H9  7PG
 H92 7PG,2H9  7PG
H101 7PG,1H10 7PG
H102 7PG,2H10 7PG
H111 7PG,1H11 7PG
H112 7PG,2H11 7PG
H121 7PG,1H12 7PG
H122 7PG,2H12 7PG
H131 7PG,1H13 7PG
H132 7PG,2H13 7PG
H141 7PG,1H14 7PG
H142 7PG,2H14 7PG
H151 7PG,1H15 7PG
H152 7PG,2H15 7PG
H161 7PG,1H16 7PG
H162 7PG,2H16 7PG
H171 7PG,1H17 7PG
H172 7PG,2H17 7PG
H173 7PG,3H17 7PG
HAX1 7PY,1HAX 7PY
HAX2 7PY,2HAX 7PY
HAX3 7PY,3HAX 7PY
 HAR 7PY, HAR 7PY
HAZ1 7PY,1HAZ 7PY
HAZ2 7PY,2HAZ 7PY
HAZ3 7PY,3HAZ 7PY
HBB1 7PY,1HBB 7PY
HBB2 7PY,2HBB 7PY
HBB3 7PY,3HBB 7PY
 HAV 7PY, HAV 7PY
 HAE 7PY, HAE 7PY
 HAB 7PY, HAB 7PY
 HAL 7PY, HAL 7PY
 HAK 7PY, HAK 7PY
 HAM 7PY, HAM 7PY
 HAN 7PY, HAN 7PY
 HAO 7PY, HAO 7PY
 HAP 7PY, HAP 7PY
 H6  7RA, H6  7RA
 H8  7RA, H8  7RA
H101 7RA,1H10 7RA
H102 7RA,2H10 7RA
HOP2 7RA,2HOP 7RA
HOP3 7RA,3HOP 7RA
H5'1 7RA,1H5* 7RA
H5'2 7RA,2H5* 7RA
 H4' 7RA, H4* 7RA
 H3' 7RA, H3* 7RA
HO'3 7RA,3HO* 7RA
 H2' 7RA, H2* 7RA
HO'2 7RA,2HO* 7RA
 H1' 7RA, H1* 7RA
 H8  7RP, H8  7RP
 H2  7RP, H2  7RP
 H6  7RP, H6  7RP
HOP2 7RP,2HOP 7RP
HOP3 7RP,3HOP 7RP
H5'1 7RP,1H5* 7RP
H5'2 7RP,2H5* 7RP
 H4' 7RP, H4* 7RP
 H3' 7RP, H3* 7RP
HO'3 7RP,3HO* 7RP
 H2' 7RP, H2* 7RP
HO'2 7RP,2HO* 7RP
 H1' 7RP, H1* 7RP
 HAV 7XY, HAV 7XY
 HAN 7XY, HAN 7XY
 HAM 7XY, HAM 7XY
 HAO 7XY, HAO 7XY
HAY1 7XY,1HAY 7XY
HAY2 7XY,2HAY 7XY
HOAE 7XY,HOAE 7XY
HAZ1 7XY,1HAZ 7XY
HAZ2 7XY,2HAZ 7XY
 HAT 7XY, HAT 7XY
 HAU 7XY, HAU 7XY
HNBA 7XY,HNBA 7XY
HAW1 7XY,1HAW 7XY
HAW2 7XY,2HAW 7XY
HAX1 7XY,1HAX 7XY
HAX2 7XY,2HAX 7XY
 HBK 7XY, HBK 7XY
 HAR 7XY, HAR 7XY
 HAK 7XY, HAK 7XY
 HAH 7XY, HAH 7XY
 HAL 7XY, HAL 7XY
 HAS 7XY, HAS 7XY
 HAP 7XY, HAP 7XY
 HAI 7XY, HAI 7XY
 HAG 7XY, HAG 7XY
 HAJ 7XY, HAJ 7XY
 HAQ 7XY, HAQ 7XY
 HC2 801, HC2 801
 HC3 801, HC3 801
 HC6 801, HC6 801
HH11 801,HH11 801
HH12 801,HH12 801
HH21 801,HH21 801
HH22 801,HH22 801
 HN3 801, HN3 801
HC3' 801,HC3' 801
HC4' 801,HC4' 801
HC5' 801,HC5' 801
 HC2 802, HC2 802
 HC3 802, HC3 802
 HC6 802, HC6 802
HH11 802,HH11 802
HH12 802,HH12 802
HH21 802,HH21 802
HH22 802,HH22 802
 HN3 802, HN3 802
HC2' 802,HC2' 802
HC4' 802,HC4' 802
HC5' 802,HC5' 802
 H1  803, H1  803
 H21 803,1H2  803
 H22 803,2H2  803
 H3  803, H3  803
H211 803,1H21 803
H212 803,2H21 803
H213 803,3H21 803
 H4  803, H4  803
 H5  803, H5  803
 H6  803, H6  803
 H7  803, H7  803
H201 803,1H20 803
H202 803,2H20 803
H203 803,3H20 803
 H8  803, H8  803
 H9  803, H9  803
H101 803,1H10 803
H102 803,2H10 803
H111 803,1H11 803
H112 803,2H11 803
 H12 803, H12 803
H131 803,1H13 803
H132 803,2H13 803
 H14 803, H14 803
 HO3 803, HO3 803
H151 803,1H15 803
H152 803,2H15 803
 H16 803, H16 803
H191 803,1H19 803
H192 803,2H19 803
H193 803,3H19 803
H171 803,1H17 803
H172 803,2H17 803
H181 803,1H18 803
H182 803,2H18 803
H183 803,3H18 803
 HN1 806, HN1 806
HN21 806,1HN2 806
HN22 806,2HN2 806
 H3  806, H3  806
 H5  806, H5  806
 H7  806, H7  806
 H8  806, H8  806
 H10 806, H10 806
 H11 806, H11 806
H121 806,1H12 806
H122 806,2H12 806
 H25 806, H25 806
 H26 806, H26 806
 H28 806, H28 806
 H29 806, H29 806
 H30 806, H30 806
 H31 806, H31 806
 H32 806, H32 806
 H41 806, H41 806
H421 806,1H42 806
H422 806,2H42 806
H431 806,1H43 806
H432 806,2H43 806
H441 806,1H44 806
H442 806,2H44 806
H451 806,1H45 806
H452 806,2H45 806
HN42 806,HN42 806
H471 806,1H47 806
H472 806,2H47 806
H473 806,3H47 806
 H11 815,1H1  815
 H21 815,1H2  815
 H51 815,1H5  815
H101 815,1H10 815
H111 815,1H11 815
H171 815,1H17 815
H181 815,1H18 815
H191 815,1H19 815
H251 815,1H25 815
H301 815,1H30 815
H311 815,1H31 815
H312 815,2H31 815
H321 815,1H32 815
H322 815,2H32 815
H371 815,1H37 815
H421 815,1H42 815
H422 815,2H42 815
H431 815,1H43 815
H432 815,2H43 815
 HN1 817, HN1 817
HN21 817,1HN2 817
HN22 817,2HN2 817
 HN3 817, HN3 817
 H6  817, H6  817
 H7  817, H7  817
 H10 817, H10 817
 HN4 817, HN4 817
 H31 817,1H3  817
 H32 817,2H3  817
 H5  817, H5  817
 H2  818, H2  818
H31A 818,1H3  818
H32A 818,2H3  818
 H41 818,1H4  818
 H42 818,2H4  818
 H51 818,1H5  818
 H52 818,2H5  818
 H61 818,1H6  818
 H62 818,2H6  818
 H11 818, H11 818
H121 818,1H12 818
H122 818,2H12 818
 H13 818, H13 818
 H14 818, H14 818
 H15 818, H15 818
H161 818,1H16 818
H162 818,2H16 818
 H17 818, H17 818
 H18 818, H18 818
 H20 818, H20 818
 H21 818, H21 818
H231 818,1H23 818
H232 818,2H23 818
 H24 818, H24 818
 H25 818, H25 818
 H26 818, H26 818
 H28 818, H28 818
 H29 818, H29 818
H301 818,1H30 818
H302 818,2H30 818
 H31 818, H31 818
 H32 818, H32 818
H331 818,1H33 818
H332 818,2H33 818
H341 818,1H34 818
H342 818,2H34 818
H351 818,1H35 818
H352 818,2H35 818
H353 818,3H35 818
H361 818,1H36 818
H362 818,2H36 818
H363 818,3H36 818
H371 818,1H37 818
H372 818,2H37 818
H373 818,3H37 818
H381 818,1H38 818
H382 818,2H38 818
H391 818,1H39 818
H392 818,2H39 818
H393 818,3H39 818
H411 818,1H41 818
H412 818,2H41 818
H413 818,3H41 818
H421 818,1H42 818
H422 818,2H42 818
H423 818,3H42 818
H431 818,1H43 818
H432 818,2H43 818
H433 818,3H43 818
H441 818,1H44 818
H442 818,2H44 818
H443 818,3H44 818
H451 818,1H45 818
H452 818,2H45 818
H453 818,3H45 818
 HO6 818, HO6 818
HO10 818,0HO1 818
HO12 818,2HO1 818
HO13 818,3HO1 818
H161 81A,1H16 81A
H162 81A,2H16 81A
H163 81A,3H16 81A
 H25 81A, H25 81A
 H24 81A, H24 81A
 H23 81A, H23 81A
 H28 81A, H28 81A
H21A 81A,1H2A 81A
H22A 81A,2H2A 81A
H23A 81A,3H2A 81A
 H1  81A, H1  81A
 H3  81A, H3  81A
 H5  81A, H5  81A
H101 81A,1H10 81A
H102 81A,2H10 81A
H141 81A,1H14 81A
H142 81A,2H14 81A
H143 81A,3H14 81A
H144 81A,4H14 81A
H151 81A,1H15 81A
H152 81A,2H15 81A
 HE  81A, HE  81A
HH12 81A,HH12 81A
HH21 81A,HH21 81A
HH22 81A,HH22 81A
 H1  821, H1  821
 H3  821, H3  821
 H51 821,1H5  821
 H52 821,2H5  821
 H53 821,3H5  821
 H12 821, H12 821
 H14 821, H14 821
H151 821,1H15 821
H152 821,2H15 821
H161 821,1H16 821
H162 821,2H16 821
H191 821,1H19 821
H192 821,2H19 821
H221 821,1H22 821
H222 821,2H22 821
H301 821,1H30 821
H302 821,2H30 821
 H34 821, H34 821
 H35 821, H35 821
 H37 821, H37 821
 H38 821, H38 821
 H44 821, H44 821
 H45 821, H45 821
 H46 821, H46 821
 H47 821, H47 821
 H48 821, H48 821
 H57 821, H57 821
 H58 821, H58 821
 H61 821, H61 821
H651 821,1H65 821
H652 821,2H65 821
 H69 821, H69 821
 H71 821, H71 821
 H2  822, H2  822
 H3  822, H3  822
 H5  822, H5  822
 H6  822, H6  822
 H16 822, H16 822
 H17 822, H17 822
H181 822,1H18 822
H182 822,2H18 822
 H19 822, H19 822
 H23 822, H23 822
 H25 822, H25 822
H281 822,1H28 822
H282 822,2H28 822
H283 822,3H28 822
 H32 822, H32 822
H381 822,1H38 822
H382 822,2H38 822
H391 822,1H39 822
H392 822,2H39 822
H421 822,1H42 822
H422 822,2H42 822
H461 822,1H46 822
H462 822,2H46 822
H491 822,1H49 822
H492 822,2H49 822
 H58 822, H58 822
 H59 822, H59 822
 H61 822, H61 822
 H62 822, H62 822
 H68 822, H68 822
 H69 822, H69 822
 H70 822, H70 822
 H71 822, H71 822
 H72 822, H72 822
 HO3 824, HO3 824
 H20 824, H20 824
 H18 824, H18 824
 H17 824, H17 824
 HN2 824, HN2 824
 HN1 824, HN1 824
 H1  824, H1  824
 H8  824, H8  824
 H9  824, H9  824
 H10 824, H10 824
 H11 824, H11 824
 H12 824, H12 824
 HO1 826, HO1 826
 HC3 826, HC3 826
 HC4 826, HC4 826
 HC6 826, HC6 826
 HC7 826, HC7 826
