#pdbId,resol,eff.resol
2sn3,1.2,2.84581528968479
1ijv,1.2,3.22950328864588
1wm3,1.2,2.60291235849606
1cc7,1.2,2.56918083094023
1sn9,1.2,2.91966056929281
1usm,1.2,2.7444270566591
1l0i,1.2,1.83437924858560
1mj4,1.2,2.43972257276929
2akf,1.2,1.63351819258979
1wri,1.2,1.60619802481571
1ynv,1.2,2.04401824064652
1m5a,1.2,3.59720174691117
1wn2,1.2,2.57017521848230
1ugu,1.2,2.78200003995775
1sqz,1.2,3.02016421323253
1uwn,1.2,2.28181324940773
1knl,1.2,2.38392811723362
1djt,1.2,2.68763459904717
1knm,1.2,2.09381685892916
1qio,1.2,2.35502107479869
1tu9,1.2,2.52313084375028
2a26,1.2,1.89405687361902
1cz9,1.2,2.41952882842218
2fcl,1.2,2.15869719728867
1ucr,1.2,2.77460111744167
1bz6,1.2,2.40496244183908
2bk9,1.2,2.13710004050050
1j98,1.2,2.30595279760722
1hqj,1.2,2.86390618992741
1lf7,1.2,2.65180549620637
1i76,1.2,2.85801316263600
1cku,1.2,2.00800914270726
1amm,1.2,2.76911365247327
1i6t,1.2,2.84148275245157
2fkk,1.2,1.95982864719831
2bbr,1.2,2.35151832099268
1g7a,1.2,1.85961172008588
1rgg,1.2,2.33926548664384
1rgh,1.2,2.11667358805696
1rgf,1.2,2.37980686413845
2pth,1.2,2.35821674494977
1t3r,1.2,2.11695103771665
1qrw,1.2,2.22836332729087
1qq4,1.2,2.42198947451285
1ve4,1.2,2.51371252811623
1k1t,1.2,2.0635286545908
1z0w,1.2,2.74096886258127
1he2,1.2,2.29165816570591
1kwn,1.2,1.81645473331527
1v8h,1.2,2.36328197547766
1gyo,1.2,2.48814080219105
1me4,1.2,1.808073776174
1me3,1.2,2.03882113947127
1jg1,1.2,1.93228196673148
1fye,1.2,2.37979219038879
1fy2,1.2,2.69755978204171
1o08,1.2,2.70706413597447
2nlr,1.2,2.10824329124620
1vk1,1.2,1.31138329137409
1y59,1.2,1.98922466049335
2blv,1.2,2.11090953569574
2blw,1.2,2.12342623823284
1uai,1.2,2.54042220447191
1kg2,1.2,1.98775123574992
1mun,1.2,2.41009808484740
1o7i,1.2,2.31396990755369
2g2s,1.2,2.13208568987496
1atg,1.2,1.97401405369880
1vr7,1.2,2.66135667041982
1i3h,1.2,2.78483945863638
1y53,1.2,2.55732609121908
1ymt,1.2,2.47569627702550
1qtn,1.2,2.41980540995242
1o0o,1.2,3.16113264641241
1o0h,1.2,3.23431286324226
1arb,1.2,2.03289017555323
1ylp,1.2,2.31686874440289
1nym,1.2,2.02663905424681
1xdn,1.2,1.93596279112170
1yr4,1.2,2.28984657152523
2f91,1.2,2.36334012124972
1tkf,1.2,1.90863864387653
1xbu,1.2,1.89037734932968
1nww,1.2,2.01598943043383
1lc0,1.2,2.83095534836385
1lok,1.2,2.75495559085724
1zby,1.2,2.11504543136743
1w3k,1.2,1.97367046026876
1e0w,1.2,1.33572726492016
1z2n,1.2,2.08008416996267
1q35,1.2,2.19300644110824
1s1p,1.2,2.46036657701621
1ryo,1.2,2.37410386248389
1cse,1.2,3.0578258528676
1obo,1.2,1.88696221772289
1wxc,1.2,2.25773004732892
1pwd,1.2,1.73434381424326
1pw1,1.2,1.94711794684289
1r5y,1.2,2.18782212655054
1m15,1.2,2.23053808656547
1qu9,1.2,1.59146328649127
1i24,1.2,1.94680094220579
1h12,1.2,1.98848422336776
1nz0,1.2,2.09673947601055
1ney,1.2,1.99585531582948
1e4m,1.2,2.16687891086468
1pi3,1.2,1.88458555347809
1po7,1.2,1.88689717302696
2bhz,1.2,1.91917926732758
2bln,1.2,2.20367380539094
1w32,1.2,2.54765288855795
2c0r,1.2,2.48937515949063
1mgo,1.2,2.02870879377407
1ubl,1.2,2.96177189594366
1qw9,1.2,2.8524529229854
1tqw,1.2,2.13748253275999
1qwn,1.2,2.20598272573547
1w6s,1.2,2.17736960939689
1q6o,1.2,2.18893742302402
1sxk,1.21,2.98303471151468
1skg,1.21,3.51138774668937
1e29,1.21,2.4964057658906
1lb3,1.21,1.65781022655554
1d4o,1.21,2.33211648411677
1j8a,1.21,1.66839967976173
2b69,1.21,1.48523767109509
1n63,1.21,2.38478406430680
9pti,1.22,1.63652522578749
1g39,1.22,2.91554788147809
2f8g,1.22,2.44876172268788
1kyf,1.22,2.77721658628807
1z2p,1.22,2.03877700077135
1mju,1.22,2.37922491062434
1yno,1.22,2.16087405976730
1hxh,1.22,2.46765006565365
1ycc,1.23,3.1158597907985
1th6,1.23,2.76656020749007
2arm,1.23,2.76656020749007
1ppz,1.23,2.33399766882814
1pqa,1.23,2.3652874093603
2a3n,1.23,1.81675097757032
1nte,1.24,2.41257693721693
1wma,1.24,1.81546007413010
2c9s,1.24,2.56551855750857
2c9u,1.24,2.14583634359109
1z2o,1.24,2.08379397825427
1usc,1.24,2.39041592612372
1wuh,1.24,2.56347727867892
1jni,1.25,1.43415682680503
1msi,1.25,2.34019402122887
2c60,1.25,2.22783561772272
1y6x,1.25,1.20782815780262
1mfg,1.25,2.38253294607447
1unr,1.25,2.85416718520921
1qau,1.25,2.54432970434070
1zma,1.25,1.94609038703183
2ft6,1.25,1.55796192011184
1tjq,1.25,3.38003099918313
1tg1,1.25,3.62194321517265
1tjk,1.25,3.41277812308464
2d6b,1.25,3.2897860230828
2fvv,1.25,2.21989099991559
1s3c,1.25,1.72212835328827
2fg1,1.25,2.37816920182924
1hq2,1.25,1.37328281188609
1q0n,1.25,2.21189960027902
1hk0,1.25,2.36628115178145
1ml7,1.25,2.19406518317251
1rfk,1.25,2.19589545694609
1i8v,1.25,1.66331042198234
1mf7,1.25,2.95131187288135
1sdu,1.25,1.79722085665888
2f81,1.25,2.30432446704798
1cus,1.25,2.09382800911643
1m2b,1.25,2.74869865731312
1lxz,1.25,2.22356940485731
1s83,1.25,1.74325646161807
2fzu,1.25,2.34642862585013
1ooh,1.25,2.07721603613314
1k3x,1.25,2.60394952247376
2foq,1.25,2.35155095562527
1oaa,1.25,2.38538086142454
1tkh,1.25,1.59994910847866
1ird,1.25,2.40898751393670
2dfo,1.25,2.33583556038967
1m4l,1.25,2.56807520732679
2b3n,1.25,3.00596602029597
1tmm,1.25,2.38725129015206
2wea,1.25,1.89996662715887
1wms,1.25,2.85421726347924
1qft,1.25,2.56274915618067
1o8b,1.25,1.86741596932442
1mex,1.25,2.16488173226087
2b82,1.25,1.87425138585066
2tps,1.25,2.47130070751185
3chb,1.25,2.13650300601149
1jeu,1.25,2.60447627261305
1yly,1.25,1.94823940962497
2cov,1.25,1.96760781430919
1gnt,1.25,1.86710893966573
2dfq,1.25,2.41085929577166
1ynp,1.25,2.31699803191886
1c1d,1.25,2.43963841652526
1m70,1.25,2.31171445378350
1rwh,1.25,1.83841623705697
1lqu,1.25,2.19641778832219
1gnl,1.25,2.19500187376526
1oa0,1.25,2.12955291335544
1upx,1.25,2.10486606447462
7rsa,1.26,1.50113610385420
1j9b,1.26,2.07427860146563
1ctq,1.26,2.88055724991833
1n0q,1.26,2.21049350526802
2cc6,1.27,2.23608319525688
1gxu,1.27,2.23962641778458
2cak,1.27,3.00015996201152
2bjd,1.27,2.12810276931906
1ikj,1.27,2.47797395442078
1vyp,1.27,2.12517211174486
1wdp,1.27,2.33254575325911
1kt7,1.27,3.07730684966432
1c52,1.28,2.73146090488400
1rtt,1.28,2.12621746527588
1mqk,1.28,2.47250811360912
1w04,1.28,1.86572676145235
1t1i,1.28,2.70575404282052
1wdq,1.28,2.40203708014116
1vlb,1.28,2.54886444650477
1qks,1.28,2.34767083268829
1pqh,1.29,1.88931717602959
1zbz,1.29,1.90761217882698
2aeb,1.29,2.84423929441374
1gkp,1.3,2.28473197476085
1zmk,1.3,2.13570377768834
1jo8,1.3,2.12116893884897
1sn4,1.3,3.39150055510394
1ptx,1.3,1.89393080513185
1seg,1.3,2.43361889721551
1pid,1.3,2.76344473284858
1ulr,1.3,1.85631993953419
1ls9,1.3,1.98345339774348
1fk5,1.3,2.00873163703967
1cy5,1.3,2.97224055168321
1w2l,1.3,3.04715236486210
1qt9,1.3,1.37297629465245
1jhg,1.3,1.49481544202377
1v70,1.3,2.20034544683890
1bxa,1.3,1.70604506582861
2rac,1.3,1.53676433609812
1fus,1.3,1.63521328479047
7fd1,1.3,2.20437418505253
1rro,1.3,1.91436869022479
1pwa,1.3,2.44251543275922
1r29,1.3,2.67882561309365
135l,1.3,2.81863114642603
1w8u,1.3,1.89011285247393
2df6,1.3,2.47342294778060
1o8x,1.3,1.77458953322291
1qdd,1.3,2.50529448830675
1dg6,1.3,2.98930004487881
1zce,1.3,2.72353083628374
1f4p,1.3,1.86530863434695
1jcd,1.3,1.18817879040547
1jl1,1.3,2.55804525698686
1jw8,1.3,2.09586348026079
1rut,1.3,1.02581525377873
1uso,1.3,2.39622728131545
1sxv,1.3,2.06918259012537
1k6f,1.3,1.17286380424490
1xeo,1.3,2.15825130120467
1x1r,1.3,1.93881556544651
1z6m,1.3,2.25250147615669
1isp,1.3,2.51778159320319
1mjn,1.3,2.58189597774028
1g7b,1.3,1.86873989838521
1vp8,1.3,1.78052139911279
1ucd,1.3,2.24057728366137
1sdt,1.3,1.37811822159951
2a1e,1.3,1.932244261416
1s6g,1.3,2.36996847565048
1tw7,1.3,2.49108067157490
2aoc,1.3,1.79791367077045
2avq,1.3,2.17274886428676
1yj1,1.3,2.39283097686303
1es9,1.3,2.95163746967088
2by6,1.3,1.92081006596801
1vd6,1.3,2.4781211544073
1lq9,1.3,2.04499973758576
1utp,1.3,1.94518125149832
2by7,1.3,1.84782400221246
2by8,1.3,1.87587525651283
2bya,1.3,1.94378179485514
2by5,1.3,1.99212589330277
2by9,1.3,1.99365210988389
2g6e,1.3,2.13082365879727
1qwy,1.3,1.66975803585817
2fhn,1.3,2.28092579023654
1fcy,1.3,1.97449642493589
1flm,1.3,2.25794884233208
2f69,1.3,2.44518211095554
1wcw,1.3,2.65122122380076
1ozu,1.3,2.12215628659175
1tf8,1.3,1.56750776664562
1tf9,1.3,1.72459643492405
1dcs,1.3,2.15932503199735
1kmt,1.3,2.0771036091477
1xub,1.3,2.32944835694169
2c4b,1.3,2.01754499461692
1gz8,1.3,2.47051064419763
2as4,1.3,1.70268458981638
2euq,1.3,1.88742689012185
1f9v,1.3,3.16126585188871
1tjy,1.3,2.17298287821238
1x98,1.3,2.63825958354158
1lzl,1.3,2.89386445468062
1rya,1.3,2.48110817929524
1wly,1.3,2.47497558747569
2bjs,1.3,1.88567399963802
1vly,1.3,1.96419887371926
1tbf,1.3,2.12000795290435
1nuw,1.3,3.16758977464798
1uzw,1.3,2.06739444046523
1bk0,1.3,1.77111820853308
2bu9,1.3,1.82948541515856
1yg9,1.3,2.56487480952039
1hb2,1.3,1.76476267292134
1obn,1.3,1.99962768375745
1to2,1.3,2.13175073724514
1wkr,1.3,1.37130285400903
2fcj,1.3,2.45324495413072
1pw8,1.3,1.98745426235182
1usf,1.3,2.2453079203416
1ka1,1.3,2.73893797221607
1s2p,1.3,2.34530843936228
1ocj,1.3,2.21840278650930
1nlu,1.3,1.99300770846662
1wpn,1.3,1.93644045363698
1dbf,1.3,2.65265892386086
1nxm,1.3,2.40928041224737
1jnd,1.3,2.35047806035606
1h13,1.3,1.98439754191117
1xwt,1.3,1.73398275543968
1wmd,1.3,2.09431667986425
1ncw,1.3,2.48915780981588
1k3y,1.3,2.39351676730025
1g61,1.3,2.32392532493226
1gzt,1.3,2.11101648501545
2a50,1.3,2.70151681679695
1vdw,1.3,2.17351632135510
1jr0,1.3,2.44410333660782
1djr,1.3,1.89923372912344
1wvf,1.3,2.00749457001234
1jev,1.3,2.60519210866112
2d1s,1.3,1.99089070253958
1o7q,1.3,2.37303701918876
1ynq,1.3,2.49196596238272
1i12,1.3,2.63214659303658
1i0d,1.3,2.81268151742117
1i0b,1.3,3.23623207339732
1hzy,1.3,2.68081845888514
1jgm,1.3,2.82653761065551
1z41,1.3,2.16323235988056
2bie,1.3,2.06386204996300
1o2d,1.3,1.7731170660688
1j2r,1.3,2.33060490512013
1sg4,1.3,2.7826334762606
1rwa,1.3,2.02279964877721
1eu1,1.3,1.99105906501502
1gk9,1.3,2.12090109350358
1hyo,1.3,2.28813106998502
1tqs,1.3,2.13321028779766
1qx1,1.3,2.32278496478087
1hdh,1.3,2.20792181714781
1t6u,1.3,1.93979624324407
1r0m,1.3,2.50479370549609
1n61,1.3,2.46803247684513
1aac,1.31,0.891613857355543
1vmh,1.31,1.53666767254887
1gwu,1.31,2.20443975719687
1nyk,1.31,1.89601781640673
1ocn,1.31,1.88238302448790
1vf8,1.31,3.01139379307293
